tuple
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'All', 1, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 2, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 3, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 4, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - Allied Lines (Condo Associations Only)', 5, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 6, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - CMP (Condo Associations Only)', 7, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - CMP (Excl Condo Associations)', 8, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 9, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 10, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Allied Lines', 11, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 12, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Condominium Unit Owners', 13, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 14, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Dwelling/Fire', 15, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 16, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 17, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Excess Private Flood', 18, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Farmowners', 19, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 20, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 21, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Mobile Homeowners', 22, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Mobile Homeowners - WIND ONLY', 23, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Primary Private Flood', 24, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Tenants', 25, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'Personal Residential - Tenants - WIND ONLY', 26, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'All', 27, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 28, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 29, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 30, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - Allied Lines (Condo Associations Only)', 31, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 32, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - CMP (Condo Associations Only)', 33, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - CMP (Excl Condo Associations)', 34, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 35, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 36, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Allied Lines', 37, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 38, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Condominium Unit Owners', 39, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 40, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Dwelling/Fire', 41, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 42, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 43, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Excess Private Flood', 44, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Farmowners', 45, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 46, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 47, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Mobile Homeowners', 48, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Mobile Homeowners - WIND ONLY', 49, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Primary Private Flood', 50, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Tenants', 51, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Alachua', 'Personal Residential - Tenants - WIND ONLY', 52, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'All', 53, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 54, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 55, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 56, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - Allied Lines (Condo Associations Only)', 57, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 58, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - CMP (Condo Associations Only)', 59, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - CMP (Excl Condo Associations)', 60, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 61, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 62, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Allied Lines', 63, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 64, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Condominium Unit Owners', 65, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 66, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Dwelling/Fire', 67, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 68, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 69, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Excess Private Flood', 70, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Farmowners', 71, 10)"
